package_name,weekly_downloads
hyperspy,863
fakestockdata,1
radglio,2
split-main,0
neural-image-analogies,2
taskpackagelib,2
rtd-poetry-tmp,4
mass-spec-utils,7
diay,0
easyepub,4
psd-parvaresh,0
cloudformation-cli-typescript-plugin,175749
taskpl,1
neuralintentsplus,4
cs-crypt,14
shldn,0
django-query-profiler,1000
frogmouth,446
hypersquirrel,152
learning1,1
neuralIR,1
cs.cssbrowserselector,0
django-query-profiler-Georgia,3
frogpy,2
wix-protos-wnp-node-jvm-pii-server-proto,0
mass-ts,266
fake-therm-w1-slave-tvanroon,0
frogress,5
rteInstallServer,0
taskprocessor,0
django-queryset-iterator,25
EasyEuler,0
wix-protos-workshop-avim-wishlist-avim,0
balu,10
django-redis-connector,3
torchdatasets-nightly,2192
buttplug-py,6
openImageDatasetSDK,0
aoe,0
cloudmesh.rest,0
shopee-truncate,3
neurophysiotools,7
aassddee,22
pspicker,1
jootranslate,0
phyforlife,0
openImagePreprocessing,1
wmi-client-wrapper,44
sportinf,2
taxamatcher,2
shopee-xr-test-pypi,5
odoo12-addon-pos-loyalty,0
pytest-bench,87
v1pysdk-unofficial,0
Ruaumoko,5
leexportpy,0
fs.anvilfs,31
easymap,1
lefse,14
graphdot,3
v2cjson,0
rafnixg,19
shoper,17
sportpursuit,0
Matematica,1
fancyboxmd,268
pyimdb,3
pytest-bigquery-mock,2918
rubber,0
bam2fpkc,0
easy-map,1
grapheditdistance,0
odoo12-addon-pos-name-to-sale-order,1
django-redis-ratelimit,1
sportran,7
py-iMessage,51
neuropod-backend-tensorflow-1-13-1-cpu,0
torch-directml,3612
leftpadx,155
dictionaries,2451
matemux,2
joppy,31
django-redissearch,0
cloudmetrics,1
taxcalculatemounica,3
hz_nester,0
csobclient,5
dictionarify,16
easy-megadock,0
v2man,2
rafter-openapi,1
hz-scanvirus,5
ShopiCLI,0
django-redissentry,0
taxi,174
csodium,0
bambic,0
sport-scraper,1
openimis-be-claim-ai-quality,3
cloudml-pytorch-assistant,1
ps-probability,0
taxi-clockify,1
torchdrug,126
sportsipy,2122
openimis-be-contribution-plan,127
mooda,3
rubecula,1
wmp,1
odoo12-addon-pos-partner-no-create,5
shopify-converter,0
pytest-breakword,0
aats,63
phyllo,0
